uid:uuid,title:text,reflection_id:uuid
a77f398b3c414f4cbc81ff01d28b52f3,"Топ 100 наречий, часть 1",01838288daec45fb831c89a25502ec6a
1bea0eed6a6b4a6faff7b54e39cd42c1,"Топ 100 наречий, часть 1",57b514dc92b74657ab14e3f5418e2509
0f1e3387a46846af8c9d4946bc87973d,"Топ 100 наречий, часть 1",6b98e62247644c16815a68d34c2d832e
b8a0ff99732843db8f259053a92709dc,"Топ 100 наречий, часть 1",ecc570fb277648d780680c36c53933b7
8d8ae2c8b1f4410f94bdb43c6839c2dc,"Топ 100 наречий, часть 1",54f3ff5ba4574295ab994352547fa14f
ab7846fa085b42b0b5c062e07a93dfce,"Top 100 adverbs, part 1",bdf7921b3b5d4646943e43f88c71b394
f5339e0a81b24acc9ae8d109185ec8d1,"Top 100 adverbs, part 1",df8ac92a30ef45d0bf1dee407cc59157
193baa770b1945c5931ee44965b253c3,"Top 100 adverbs, part 1",3ed47dbf956448aaa754b9abec6d16e7
b7dd27addcd9457aa6a522f98f65a92d,"Top 100 adverbs, part 1",816fa369f23a4453a53bdefebb72384c
fd33ad66face47d6838f985d19147873,"Top 100 adverbs, part 1",27c6615459594cc3b776358a18ebbd11
9f93f3d094a0454194d052767734d477,"Top 100 der adverbien, Teil 1",dcd7df63c0464f819524bfb5f8eee447
4af7e6170d6e4feb8a21f27809062ca3,"Top 100 der adverbien, Teil 1",c83f0d812a7141caa9e1922d68e46165
358c32f3db834feeaa2b81929518dc81,"Top 100 der adverbien, Teil 1",cc21ec004b884acf8a4cdaac9f121a61
663e95f03ae2492ba18d1e1a526b9853,"Top 100 der adverbien, Teil 1",99d8dff3d376413a9a1b27260658af37
520c2272767e43b48e5f535c4abdc544,"Top 100 der adverbien, Teil 1",9c1cdb353cd845c894972b6227689439
7e407827219d42cb9cfe010f84ecc172,"Le top 100 des adverbes, partie 1",d85c1843060840bb8d68df52afa20e92
f752dddf185441dbb6d345cea08402d5,"Le top 100 des adverbes, partie 1",e013acce8a874a05bedc7ede4490aaf5
ff076e5bc47c438194e35479b13dcc43,"Le top 100 des adverbes, partie 1",2291d411977346778c97eafd4514d3cd
1ffbfad5a4394c2b8d0da36a5a23de8a,"Le top 100 des adverbes, partie 1",e8aea3f6f2a7421e9950221238054d05
3297d85cdabc46a5b7d14791207a0941,"Le top 100 des adverbes, partie 1",dff1d268b098461f981c9f283570f24e
f17239198a234f9dbbc281e0d4bac41f,"Top 100 de los adverbios, parte 1",6aeacf0697f44a1088ef7c75f95ca696
9b3214c8e23a4b5fa96de63e9b9f8b9a,"Top 100 de los adverbios, parte 1",8542ff22026f45be8be89c7296912fd6
f78302f8a2254b6bb65b1cf6062dc872,"Top 100 de los adverbios, parte 1",ac71b0d8b1f3461d9a2e804b53767bf1
22e8dac1c2c24f3182ec8a838367ed8a,"Top 100 de los adverbios, parte 1",5a3828dfaf35412fb72740d65fdf8239
bb863e4c336048fa86c3bea1b5f9afcf,"Top 100 de los adverbios, parte 1",7d8cf9e65d5e400aa5aadc02d90d838d
0f6408a20942455d9a3b88a6c11f2213,"Top 100 avverbi, parte 1",c19375c760c44b94abe360bc51bd93e2
683f6aa0bb1140f791d931e4f01a3f1a,"Top 100 avverbi, parte 1",d60f04e12490463f9b2e6a10c221b4d8
cad1b6abba7d48259aa9c7894c5a9fd2,"Top 100 avverbi, parte 1",3bd7ccca0f1e42de8dde45014bafa392
a5136b95f0b3489ab1a9a187df1316d9,"Top 100 avverbi, parte 1",c5855d1caf0f408b98d9463b4d85561f
b8bbd0bb81d24d50aac82191005324e5,"Top 100 avverbi, parte 1",dcebadfbe18148a68365ce8e13ae72c0
c95b66c443d941d99cfa0fd831d168d5,Топ 100 глаголов,01838288daec45fb831c89a25502ec6a
12ed3bb01b334eaf8c77107df9586987,Топ 100 глаголов,57b514dc92b74657ab14e3f5418e2509
fee74cee6586433b9513dadfd540519c,Топ 100 глаголов,6b98e62247644c16815a68d34c2d832e
d877a81df8ba406c983ca52fd0f733c6,Топ 100 глаголов,ecc570fb277648d780680c36c53933b7
71ecd587b761436b9009cbda92ec8fe7,Топ 100 глаголов,54f3ff5ba4574295ab994352547fa14f
abec3f0a635149a0bdab721407586ad8,Top 100 verbs,bdf7921b3b5d4646943e43f88c71b394
829a78777bfc422285b0af895526125b,Top 100 verbs,df8ac92a30ef45d0bf1dee407cc59157
a702852ae6674320884f2ba83199ea5b,Top 100 verbs,3ed47dbf956448aaa754b9abec6d16e7
0c1942fee295456eb13ae520ea01e004,Top 100 verbs,816fa369f23a4453a53bdefebb72384c
fb747f3a4a874486b171d2f5e15bb999,Top 100 verbs,27c6615459594cc3b776358a18ebbd11
5e92f7fa0f154e75a59efc6733b08ec0,Top 100 Verben,dcd7df63c0464f819524bfb5f8eee447
f8b9e522e239486ab1c2fc30c422f504,Top 100 Verben,c83f0d812a7141caa9e1922d68e46165
222e399fc7264a6e9069082b137c82d9,Top 100 Verben,cc21ec004b884acf8a4cdaac9f121a61
