uid:uuid,category_id:uuid,native_word:text,foreign_word:text
31c00c71488e4620913391347d3d56fd,876d28788e074c43afee51a38ed09bd4,терпеть,to endure
3e45a3539f054df486aea9f262eacadf,876d28788e074c43afee51a38ed09bd4,дышать,breathe
e7f201390c2f467eac7d6187f855eb63,876d28788e074c43afee51a38ed09bd4,обидеть,hurt
ac2f6e0810d944d9946cb9d3c21d3f3f,876d28788e074c43afee51a38ed09bd4,гнать,drive
3e7cd20c6cc64943b4843250e5f1e875,876d28788e074c43afee51a38ed09bd4,смотреть,watch
5f044ba39fb145c5858434d72e993d4f,876d28788e074c43afee51a38ed09bd4,видеть,to see
dab9e3e269de4ee49d6c1cb06d21bfaf,876d28788e074c43afee51a38ed09bd4,держать,keep
64a55267219e4fb4a14299ebc1bc56a2,876d28788e074c43afee51a38ed09bd4,вертеть,twirl
394f8778e41e4c8f877d91a4a87613b2,876d28788e074c43afee51a38ed09bd4,слышать,to hear
95e096a7c7d049f486bcbace2cb3ad04,876d28788e074c43afee51a38ed09bd4,зависеть,depend
131c8aeaca75491180c74878a048e9b6,876d28788e074c43afee51a38ed09bd4,ненавидеть,hate
2d6ead47b2df4b16b3434a3c53d55287,5d684c60c6ea4bf9951e2c99f9a6c22f,терпеть,ertragen
681689234f0141428989453c5fde3720,5d684c60c6ea4bf9951e2c99f9a6c22f,дышать,atmen
660509dfdd8f4184ac2e4ae72c703724,5d684c60c6ea4bf9951e2c99f9a6c22f,обидеть,beleidigen
d73977a139794941ab9fda045d33299a,5d684c60c6ea4bf9951e2c99f9a6c22f,гнать,jagen
cf9eeea00eb74344a5dcef8038358dd2,5d684c60c6ea4bf9951e2c99f9a6c22f,смотреть,sehen
a4874d9a2a8940d281a520932c2739f5,5d684c60c6ea4bf9951e2c99f9a6c22f,видеть,sehen
8134355ac6864b58a4d3b3d0564eb244,5d684c60c6ea4bf9951e2c99f9a6c22f,держать,halten
a2c9ff9568444bb8bc6890c42894f3a2,5d684c60c6ea4bf9951e2c99f9a6c22f,вертеть,drehen
79aca79cb692412cad1fe7d1bc01f247,5d684c60c6ea4bf9951e2c99f9a6c22f,слышать,zu hören
193d216c5c994cffb0e542d4c360fc94,5d684c60c6ea4bf9951e2c99f9a6c22f,зависеть,abhängig
5fbadbe03ea140f795d4ff7a5097ee2e,5d684c60c6ea4bf9951e2c99f9a6c22f,ненавидеть,hassen
59f3cc47db22408099c9c79598ca0360,8aae9c18687740f2a6df613a5bea0b1a,терпеть,tolérer
bb1cb124e2cf4b3dad57a4b8b94d5316,8aae9c18687740f2a6df613a5bea0b1a,дышать,respirer
949f5cf806ad44ddbe88bdeda03666ec,8aae9c18687740f2a6df613a5bea0b1a,обидеть,offenser
13d79c8f08824bd28f5f12ea7a070078,8aae9c18687740f2a6df613a5bea0b1a,гнать,conduire
fac4fcc2a4aa4a13a3e8b7e86034eb3f,8aae9c18687740f2a6df613a5bea0b1a,смотреть,regarder
438c8bdbfbba4accb7e88423d5903cdd,8aae9c18687740f2a6df613a5bea0b1a,видеть,voir
b853c7943c22478ca03fd02ed8f3c7bc,8aae9c18687740f2a6df613a5bea0b1a,держать,garder
d80ce5a900e041fa92dedd019fc414ed,8aae9c18687740f2a6df613a5bea0b1a,вертеть,tournoyer
ad2b7b56e9e344fea89b1e8007117152,8aae9c18687740f2a6df613a5bea0b1a,слышать,entendre
ae6a34d784494152918f898981769165,8aae9c18687740f2a6df613a5bea0b1a,зависеть,dépendre
bba3c63e2f074161947c283af0787c43,8aae9c18687740f2a6df613a5bea0b1a,ненавидеть,haïr
3428b5e7af5c425389fac23751965516,c25794f5720344f1b007d29a1cc89736,терпеть,tolerar
33f5c3e22b0547f1b715ac7c11579762,c25794f5720344f1b007d29a1cc89736,дышать,respirar
e19e379c0ace42ed84ceab6f55c51657,c25794f5720344f1b007d29a1cc89736,обидеть,ofender
1bc4c1c5ba174e57a52a6b62c1be87a4,c25794f5720344f1b007d29a1cc89736,гнать,llevar
9c6c3d80e1f349d0bbfeec185596e24b,c25794f5720344f1b007d29a1cc89736,смотреть,ver
785b4668e0dd4c88abdd714fb4fc23f4,c25794f5720344f1b007d29a1cc89736,видеть,ver
8d863b790ec84a92934fbea63b31747d,c25794f5720344f1b007d29a1cc89736,держать,mantener
363b88d52f174aa0b49fc5719184d796,c25794f5720344f1b007d29a1cc89736,вертеть,voltear
1f956278b1d44af685a0b161b4fba828,c25794f5720344f1b007d29a1cc89736,слышать,escuchar
e171af0ef04d4c43b35485a1529200ea,c25794f5720344f1b007d29a1cc89736,зависеть,depender
360044819d5641b985113a4120a1b279,c25794f5720344f1b007d29a1cc89736,ненавидеть,odiar
8b3ba134579a4256a6feff0cf917d694,63e2e4b93a3942b6ae4ed56c5ec58e97,терпеть,sopportare
b54e8e72eeac404f99f24e7547b4f12a,63e2e4b93a3942b6ae4ed56c5ec58e97,дышать,respirare
48e0143fc8414af587951c8e75c61ac3,63e2e4b93a3942b6ae4ed56c5ec58e97,обидеть,offendere
8c8b8bbb363d447bbc137cf26463cd44,63e2e4b93a3942b6ae4ed56c5ec58e97,гнать,perseguiteranno
568fa2f7b26041c9bec2900b244c5b87,63e2e4b93a3942b6ae4ed56c5ec58e97,смотреть,guardare
f1208b9431414a5d8c66fa0600ff717b,63e2e4b93a3942b6ae4ed56c5ec58e97,видеть,vedere
c4b26d49f8d04ee6aa0f474c611cf48b,63e2e4b93a3942b6ae4ed56c5ec58e97,держать,tenere
473867a0c12d484daf3740e0cd3a8d10,63e2e4b93a3942b6ae4ed56c5ec58e97,вертеть,girare
7c29e717c6144e53b562ce507eccaf8a,63e2e4b93a3942b6ae4ed56c5ec58e97,слышать,sentire
7dd60df4304440a685c67607ae1ed481,63e2e4b93a3942b6ae4ed56c5ec58e97,зависеть,dipendere
2d3ee5b6f503435bbb2a7702dc757e79,63e2e4b93a3942b6ae4ed56c5ec58e97,ненавидеть,odiare
baff16ca0ca84368b124afe438d1f750,f589882d0dce4d2485709d2f85bda147,to endure,терпеть
9774cf7f42714880ac2ba5f17eb1579c,f589882d0dce4d2485709d2f85bda147,breathe,дышать
0e6e2029f3004359953f5f1743bca3b8,f589882d0dce4d2485709d2f85bda147,hurt,обидеть
60b489cd09af46768accf5a9f658285b,f589882d0dce4d2485709d2f85bda147,drive,гнать
8dde85d5815048c7bc60b63a7ec4c3ba,f589882d0dce4d2485709d2f85bda147,watch,смотреть
a175b49b07694d848f48d8f497713d4c,f589882d0dce4d2485709d2f85bda147,to see,видеть
465c4d8f3e0c4456b0b3d9de26803a35,f589882d0dce4d2485709d2f85bda147,keep,держать
cdffd5d4bd7a4e189d6baf712688a52d,f589882d0dce4d2485709d2f85bda147,twirl,вертеть
2f82049a58cd40a284e958816efd9cf1,f589882d0dce4d2485709d2f85bda147,to hear,слышать
a484435da7f24791bf9692b188d6bc78,f589882d0dce4d2485709d2f85bda147,depend,зависеть
73cfb216f2da4317bca8bda3f7dd3b58,f589882d0dce4d2485709d2f85bda147,hate,ненавидеть
d4eb55dfae7e4a75a73a50f086ce834e,83bad1e6f1bb445284fc24626c267d9a,to endure,ertragen
96b8178a6a4948ebb3fb6de15223a189,83bad1e6f1bb445284fc24626c267d9a,breathe,atmen
6c61398fbd5b46b18317ad54ea338150,83bad1e6f1bb445284fc24626c267d9a,hurt,beleidigen
d0764ea70f6043c9add5114fccbf9c95,83bad1e6f1bb445284fc24626c267d9a,drive,jagen
bbc46fbbb3504d3eaf711c0eaec31cf2,83bad1e6f1bb445284fc24626c267d9a,watch,sehen
a6e6aafa893644529b67618588ebdad0,83bad1e6f1bb445284fc24626c267d9a,to see,sehen
04d0a81a3f88432a8a3f81208e5c174c,83bad1e6f1bb445284fc24626c267d9a,keep,halten
6735cc3adcd5428fb08d35ecc4c2bfec,83bad1e6f1bb445284fc24626c267d9a,twirl,drehen
b84bb97fa77f46bd917a5f228f5f1035,83bad1e6f1bb445284fc24626c267d9a,to hear,zu hören
d866588253a7407ea795b48e294a6a41,83bad1e6f1bb445284fc24626c267d9a,depend,abhängig
3cc2832e880d4531ab06ab88633e9175,83bad1e6f1bb445284fc24626c267d9a,hate,hassen
ac18612b0a574d7f87c040e59dfaa8b8,40c8b999f3464478921eb88015f93e67,to endure,tolérer
d9558009cba84275b2f78b52a4bab681,40c8b999f3464478921eb88015f93e67,breathe,respirer
1250759aa41d46c0877f7c11f612af9e,40c8b999f3464478921eb88015f93e67,hurt,offenser
1544251b4f1c4fa3aa4177417f58d2b7,40c8b999f3464478921eb88015f93e67,drive,conduire
d9c7f1b830da45e089647fa4f99710da,40c8b999f3464478921eb88015f93e67,watch,regarder
613729e73241456f9b9c599825b87e39,40c8b999f3464478921eb88015f93e67,to see,voir
1c2d172079b24c8e8af4d873b42417a7,40c8b999f3464478921eb88015f93e67,keep,garder
4480b6776ce445469dd5fc59445b838b,40c8b999f3464478921eb88015f93e67,twirl,tournoyer
